school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
FAIRFIELD METHODIST SCHOOL (SECONDARY),139649,No,Yes,No,1.30163374395823,103.784099647149
FARRER PARK PRIMARY SCHOOL,217567,No,No,No,1.31236867681371,103.850766402965
FENGSHAN PRIMARY SCHOOL,469680,No,No,No,1.32980598760785,103.931710293058
FERN GREEN PRIMARY SCHOOL,797538,No,No,No,1.39726966050479,103.880330305684
FERNVALE PRIMARY SCHOOL,797701,No,No,No,1.39030227963797,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,319252,No,No,No,1.34032299499938,103.855529906182
FRONTIER PRIMARY SCHOOL,648200,No,No,No,1.33641298743234,103.69970173931
FUCHUN PRIMARY SCHOOL,739063,No,No,No,1.43047990810126,103.778192944298
FUHUA PRIMARY SCHOOL,609647,No,No,No,1.33650394789627,103.736103745748
FUHUA SECONDARY SCHOOL,649410,No,No,No,1.34701408913756,103.72652089832
GAN ENG SENG PRIMARY SCHOOL,158901,No,No,No,1.28559516494962,103.815547410064
GAN ENG SENG SCHOOL,159561,No,No,No,1.28907114485773,103.823733673089
GEYLANG METHODIST SCHOOL (PRIMARY),389706,No,No,No,1.31759126757284,103.883845744916
GEYLANG METHODIST SCHOOL (SECONDARY),389705,No,No,No,1.31764900474601,103.882661129303
GONGSHANG PRIMARY SCHOOL,529176,No,No,No,1.35723721393297,103.949115320172
GREENDALE PRIMARY SCHOOL,828848,No,No,No,1.39648195114256,103.91233462071
GREENDALE SECONDARY SCHOOL,828866,No,No,No,1.39696019936894,103.91170014084
GREENRIDGE PRIMARY SCHOOL,677744,No,No,No,1.3858892193692,103.767794469258
GREENRIDGE SECONDARY SCHOOL,678972,No,No,No,1.375600053443,103.763998914082
GREENWOOD PRIMARY SCHOOL,737942,No,No,No,1.43989958331782,103.804725587384
GUANGYANG SECONDARY SCHOOL,579807,No,No,No,1.34440943525695,103.850212163078
HAI SING CATHOLIC SCHOOL,518969,No,No,No,1.36933055696636,103.962762942764
HAIG GIRLS' SCHOOL,427072,No,No,No,1.31194344271383,103.902902557195
HENRY PARK PRIMARY SCHOOL,278790,No,No,No,1.31667646178347,103.784296227747
HILLGROVE SECONDARY SCHOOL,659250,No,No,No,1.35273576615912,103.752986488399
HOLY INNOCENTS' HIGH SCHOOL,534786,No,No,No,1.37154508822261,103.896398814264
HOLY INNOCENTS' PRIMARY SCHOOL,536451,Yes,No,No,1.36693830877349,103.894114899795
HONG WEN SCHOOL,327829,Yes,No,No,1.32175999964553,103.857628468881
HORIZON PRIMARY SCHOOL,828819,No,No,No,1.399550034492,103.913404855665
HOUGANG PRIMARY SCHOOL,534238,No,No,No,1.37738245231461,103.880805274557
HOUGANG SECONDARY SCHOOL,534256,No,No,No,1.37764019332164,103.882533963338
HUA YI SECONDARY SCHOOL,649371,No,No,No,1.35234365488339,103.721832320169
HUAMIN PRIMARY SCHOOL,768857,No,No,No,1.42697284512936,103.844240226564
HWA CHONG INSTITUTION,269734,Yes,No,Yes,1.32561493280909,103.805730574839
INNOVA PRIMARY SCHOOL,737888,No,No,No,1.42896700684852,103.790607539185
JIEMIN PRIMARY SCHOOL,768515,No,No,No,1.42768847665227,103.830425490093
JING SHAN PRIMARY SCHOOL,569228,No,No,No,1.37223290983498,103.852132214306
JUNYUAN PRIMARY SCHOOL,528906,No,No,No,1.34787074766746,103.939221709073
JUNYUAN SECONDARY SCHOOL,528933,No,No,No,1.35361315263537,103.933886165824
JURONG PIONEER JUNIOR COLLEGE,688258,No,No,No,1.38437406410733,103.75437461519
JURONG PRIMARY SCHOOL,609476,No,No,No,1.34843859698946,103.733156566858
JURONG SECONDARY SCHOOL,618652,No,No,No,1.33002032220942,103.723952961648
JURONG WEST PRIMARY SCHOOL,648368,No,No,No,1.33917519796104,103.698803732244
JURONG WEST SECONDARY SCHOOL,648348,No,No,No,1.33525634688323,103.702098904443
JURONGVILLE SECONDARY SCHOOL,609790,No,No,No,1.35128862770284,103.728907710089
JUYING SECONDARY SCHOOL,649038,No,No,No,1.3387227734133,103.687310264575
KEMING PRIMARY SCHOOL,659762,No,No,No,1.34552849960874,103.756449399351
KENT RIDGE SECONDARY SCHOOL,127368,No,No,No,1.30122773426098,103.764889617566
KHENG CHENG SCHOOL,319580,No,No,No,1.3373381935639,103.847148501824
KONG HWA SCHOOL,399772,Yes,No,No,1.31099674009193,103.888352029067
KRANJI PRIMARY SCHOOL,689189,No,No,No,1.39356050497104,103.747362720939
KRANJI SECONDARY SCHOOL,689333,No,No,No,1.39005109871311,103.741190664845
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,579793,No,No,No,1.34939813669536,103.855018233311
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,579795,No,No,No,1.35017129930314,103.854983746416
LAKESIDE PRIMARY SCHOOL,618310,No,No,No,1.33820397704287,103.718089546664
LIANHUA PRIMARY SCHOOL,659243,No,No,No,1.35424191127295,103.754165828711
LOYANG VIEW SECONDARY SCHOOL,519073,No,No,No,1.36658417167238,103.956944585725
MAHA BODHI SCHOOL,408931,Yes,No,No,1.32847086658384,103.901298737314
MANJUSRI SECONDARY SCHOOL,408940,No,No,No,1.32747123084846,103.901719963831
MARIS STELLA HIGH SCHOOL,368051,Yes,Yes,No,1.34139473323668,103.877852484435
MARSILING PRIMARY SCHOOL,738927,No,No,No,1.43383904037059,103.773643013846
MARSILING SECONDARY SCHOOL,739110,No,No,No,1.43664424769955,103.776008090454
MARYMOUNT CONVENT SCHOOL,297754,No,No,No,1.34036676987375,103.840021064426
MAYFLOWER PRIMARY SCHOOL,569878,No,No,No,1.37637683547682,103.843252803742
MAYFLOWER SECONDARY SCHOOL,569384,No,No,No,1.36827266209722,103.835360726863
MEE TOH SCHOOL,828867,No,No,No,1.3946184538592,103.908589494228
MERIDIAN PRIMARY SCHOOL,518798,No,No,No,1.37552831658484,103.934889078518
MERIDIAN SECONDARY SCHOOL,518901,No,No,No,1.3672468492013,103.948972483629
METHODIST GIRLS' SCHOOL (PRIMARY),599986,No,No,No,1.33294800935714,103.783393009829
METHODIST GIRLS' SCHOOL (SECONDARY),599986,No,No,Yes,1.33294800935714,103.783393009829
MILLENNIA INSTITUTE,658965,No,No,No,1.35031939200985,103.741593577684
MONTFORT JUNIOR SCHOOL,538786,No,No,No,1.37382444075979,103.889307782925
MONTFORT SECONDARY SCHOOL,538785,No,No,No,1.37396131656912,103.888928372577
NAN CHIAU HIGH SCHOOL,545079,Yes,No,No,1.38879582498399,103.890004423764
NAN CHIAU PRIMARY SCHOOL,545080,No,No,No,1.39221149906592,103.891180928186
NAN HUA HIGH SCHOOL,129956,Yes,Yes,No,1.30809529518605,103.768561446725
NAN HUA PRIMARY SCHOOL,128806,Yes,No,No,1.31920159956387,103.761095065761
NANYANG GIRLS' HIGH SCHOOL,288683,Yes,No,Yes,1.33058326666479,103.802420979943
NANYANG JUNIOR COLLEGE,556111,No,No,No,1.35028314949236,103.866498721912
NANYANG PRIMARY SCHOOL,268097,Yes,No,No,1.32084749904532,103.807750155296
NATIONAL JUNIOR COLLEGE,288913,No,No,Yes,1.33029291072172,103.804110905425
NAVAL BASE PRIMARY SCHOOL,769028,No,No,No,1.41630663159387,103.838794077233
NAVAL BASE SECONDARY SCHOOL,768689,No,No,No,1.41937881620441,103.831050390247
NEW TOWN PRIMARY SCHOOL,148812,No,No,No,1.29964188181021,103.80010216304
NEW TOWN SECONDARY SCHOOL,139657,No,No,No,1.30977590011357,103.77318863421
NGEE ANN PRIMARY SCHOOL,449149,No,No,No,1.30552505910497,103.917463017497
NGEE ANN SECONDARY SCHOOL,529283,No,Yes,No,1.35447525755806,103.956747262496
NORTH SPRING PRIMARY SCHOOL,545088,No,No,No,1.38706146494859,103.903202683028
NORTH VIEW PRIMARY SCHOOL,768960,No,No,No,1.42752327193727,103.848190787869
NORTH VISTA PRIMARY SCHOOL,544974,No,No,No,1.38282243016299,103.895961877928
NORTH VISTA SECONDARY SCHOOL,545081,No,No,No,1.381131285358,103.899188813886
NORTHBROOKS SECONDARY SCHOOL,768692,No,No,No,1.42081285020652,103.845147332528
NORTHLAND PRIMARY SCHOOL,769026,No,No,No,1.42096989918951,103.840928424929
NORTHLAND SECONDARY SCHOOL,768578,No,No,No,1.43580183362637,103.840104687784
NORTHLIGHT SCHOOL,327830,No,No,No,1.3191002158167,103.85575955353
NORTHOAKS PRIMARY SCHOOL,757622,No,No,No,1.45660782030102,103.814196981329
NORTHSHORE PRIMARY SCHOOL,828671,No,No,No,1.41813803336667,103.904416909742
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,129957,No,No,Yes,1.30600678096247,103.770152807737
OASIS PRIMARY SCHOOL,828716,No,No,No,1.40462413200793,103.911120600638
OPERA ESTATE PRIMARY SCHOOL,458436,No,No,No,1.31931914436255,103.923788259248
ORCHID PARK SECONDARY SCHOOL,768454,No,No,No,1.41532032779634,103.837859241343
OUTRAM SECONDARY SCHOOL,168622,No,No,No,1.28651357464735,103.837127264403
PALM VIEW PRIMARY SCHOOL,544822,No,No,No,1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,519524,No,No,No,1.37738069854249,103.939541695654
PASIR RIS CREST SECONDARY SCHOOL,518934,No,No,No,1.37284060102246,103.959728202919
PASIR RIS PRIMARY SCHOOL,518968,No,No,No,1.37241870245531,103.962807212116
PASIR RIS SECONDARY SCHOOL,529400,No,No,No,1.35422732653396,103.948962626204
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),536741,No,No,No,1.34947276268396,103.884971343143
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),536742,No,Yes,No,1.35096755912522,103.885120050588
PEI CHUN PUBLIC SCHOOL,319320,Yes,No,No,1.33737358725951,103.855585578061
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,597610,Yes,No,No,1.33805634613048,103.776106448614
PEI HWA SECONDARY SCHOOL,797702,No,No,No,1.39037504993234,103.878461745339
PEI TONG PRIMARY SCHOOL,129857,No,No,No,1.31619786415976,103.767599818844
PEICAI SECONDARY SCHOOL,556094,No,No,No,1.35951583222214,103.870010749055
PEIRCE SECONDARY SCHOOL,575566,No,No,No,1.36665944653812,103.83021606804
PEIYING PRIMARY SCHOOL,768687,No,No,No,1.41723339695904,103.830417090698
PIONEER PRIMARY SCHOOL,699915,No,No,No,1.35442592930738,103.732790920197
POI CHING SCHOOL,529067,Yes,No,No,1.35765122315688,103.935246477199
PRESBYTERIAN HIGH SCHOOL,569845,No,No,No,1.38201194250223,103.843149382823
PRINCESS ELIZABETH PRIMARY SCHOOL,659163,No,No,No,1.349203512653,103.74101964471
PUNGGOL COVE PRIMARY SCHOOL,828674,No,No,No,1.41159923273069,103.898803921164
PUNGGOL GREEN PRIMARY SCHOOL,828772,No,No,No,1.40187220643293,103.898801330302
PUNGGOL PRIMARY SCHOOL,538787,No,No,No,1.37779451191095,103.894506933668
PUNGGOL SECONDARY SCHOOL,828870,No,No,No,1.40205738421399,103.909213706482
PUNGGOL VIEW PRIMARY SCHOOL,828845,No,No,No,1.40514582647962,103.905156371376
QIFA PRIMARY SCHOOL,128104,No,No,No,1.31325113867272,103.756743261958
QIHUA PRIMARY SCHOOL,738525,No,No,No,1.4420359661233,103.788339756898
QUEENSTOWN PRIMARY SCHOOL,149303,No,No,No,1.29559365009015,103.807548617332
QUEENSTOWN SECONDARY SCHOOL,148800,No,No,No,1.29352126774652,103.813190980055
QUEENSWAY SECONDARY SCHOOL,149295,No,No,No,1.30022271592188,103.802207291625
RADIN MAS PRIMARY SCHOOL,99840,No,No,No,1.27495823622634,103.824188270373
RAFFLES GIRLS' PRIMARY SCHOOL,289072,No,No,No,1.3294042600012,103.806442915912
RAFFLES GIRLS' SCHOOL (SECONDARY),318871,No,No,Yes,1.34217479932295,103.84313404727
RAFFLES INSTITUTION,575954,No,No,Yes,1.34629045013358,103.843620247231
RED SWASTIKA SCHOOL,469719,Yes,No,No,1.33324297847732,103.934332314404
REGENT SECONDARY SCHOOL,689621,No,No,No,1.39327908335682,103.751034411529
RIVER VALLEY HIGH SCHOOL,649961,Yes,Yes,Yes,1.34407801149725,103.709022156436
RIVER VALLEY PRIMARY SCHOOL,237993,No,No,No,1.2942232846169,103.835815165829
RIVERSIDE PRIMARY SCHOOL,737803,No,No,No,1.44704734253719,103.801831963297
RIVERSIDE SECONDARY SCHOOL,738524,No,No,No,1.44110157139127,103.78830823641
RIVERVALE PRIMARY SCHOOL,545092,No,No,No,1.39340997767762,103.904559511997
ROSYTH SCHOOL,555855,No,No,No,1.37289067499064,103.875001549174
RULANG PRIMARY SCHOOL,649295,No,No,No,1.34673868889096,103.718457955487
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",138572,No,No,No,1.31292810600277,103.774011529322
"SCHOOL OF THE ARTS, SINGAPORE",227968,No,No,No,1.29936480411316,103.848687419363
SEMBAWANG PRIMARY SCHOOL,757715,No,No,No,1.44504676205659,103.82102212387
SEMBAWANG SECONDARY SCHOOL,757704,No,No,No,1.44531502131387,103.816843258118
SENG KANG PRIMARY SCHOOL,545166,No,No,No,1.38949740422462,103.899767112047
SENG KANG SECONDARY SCHOOL,545090,No,No,No,1.38659683143747,103.898365036709
SENGKANG GREEN PRIMARY SCHOOL,797636,No,No,No,1.39284606680477,103.875217666486
SERANGOON GARDEN SECONDARY SCHOOL,555889,No,No,No,1.36932570490947,103.869270301476
SERANGOON SECONDARY SCHOOL,534237,No,No,No,1.37465538827443,103.902138740699
SHUQUN PRIMARY SCHOOL,649332,No,No,No,1.34765311431632,103.721523713379
SI LING PRIMARY SCHOOL,739067,No,No,No,1.43240935732525,103.786035065192
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,309437,No,No,No,1.3206340835184,103.828164966953
SINGAPORE CHINESE GIRLS' SCHOOL,309437,No,No,Yes,1.3206340835184,103.828164966953
